,fips,cases,deaths,employed-sugar-intake-daily,Democrats,Republicans
14905,54,303173,5036,46.1,False,True
14906,55,1012360,10260,29.7,False,True
14907,2,151979,862,26.2,False,True
14908,4,1305260,22854,33.0,False,True
14909,6,5148904,75374,22.9,True,False
14910,9,436143,8946,18.9,True,False
14911,11,68460,1197,18.5,True,False
14912,18,1149275,17954,35.9,False,True
14913,19,542433,7550,34.2,False,True
14914,20,483238,6799,32.4,False,True
14915,21,812786,11540,43.4,False,True
14916,24,592912,11255,28.0,True,False
14917,27,952356,9938,23.5,True,False
14918,28,518670,10317,49.7,False,True
14919,31,319847,3241,31.1,False,True
14920,34,1289542,28526,22.7,True,False
14921,36,2816974,57507,23.1,True,False
14922,37,1562961,18965,42.1,False,True
14923,39,1761008,27011,32.0,False,True
14924,40,678343,11384,46.5,False,True
14925,45,927649,14347,42.0,False,True
14926,49,609486,3632,30.3,False,True
14927,50,54321,426,16.7,True,False
14928,54,304355,5055,46.1,False,True
14929,55,1017528,10330,29.7,False,True
14930,2,152422,862,26.2,False,True
14931,4,1309184,22947,33.0,False,True
14932,6,5155484,75445,22.9,True,False
