,fips,cases,deaths,employed-sugar-intake-daily,Democrats,Republicans
14353,54,283075,4610,46.1,False,True
14354,55,921389,9679,29.7,False,True
14355,2,145292,813,26.2,False,True
14356,4,1217193,21653,33.0,False,True
14357,6,5014583,73411,22.9,True,False
14358,9,409929,8826,18.9,True,False
14359,11,65623,1194,18.5,True,False
14360,18,1059162,17105,35.9,False,True
14361,19,503564,7166,34.2,False,True
14362,20,450676,6642,32.4,False,True
14363,21,768091,10375,43.4,False,True
14364,24,572574,11068,28.0,True,False
14365,27,847011,9120,23.5,True,False
14366,28,509275,10203,49.7,False,True
14367,31,297214,3048,31.1,False,True
14368,34,1219768,28177,22.7,True,False
14369,36,2631992,56508,23.1,True,False
14370,37,1508222,18456,42.1,False,True
14371,39,1608415,25643,32.0,False,True
14372,40,655512,10879,46.5,False,True
14373,45,908839,14033,42.0,False,True
14374,49,576130,3373,30.3,False,True
14375,50,45024,394,16.7,True,False
14376,54,283561,4636,46.1,False,True
14377,55,928390,9707,29.7,False,True
14378,2,145641,820,26.2,False,True
14379,4,1220433,21736,33.0,False,True
14380,6,5019484,73487,22.9,True,False
14381,9,410473,8826,18.9,True,False
14382,11,65707,1195,18.5,True,False
14383,18,1061970,17147,35.9,False,True
14384,19,506538,7166,34.2,False,True
14385,20,450846,6645,32.4,False,True
14386,21,769771,10408,43.4,False,True
14387,24,573276,11075,28.0,True,False
14388,27,857915,9171,23.5,True,False
14389,28,509717,10215,49.7,False,True
14390,31,298082,3070,31.1,False,True
14391,34,1221507,28200,22.7,True,False
14392,36,2637053,56551,23.1,True,False
14393,37,1510009,18482,42.1,False,True
14394,39,1614054,25813,32.0,False,True
14395,40,655857,10879,46.5,False,True
14396,45,909282,14042,42.0,False,True
14397,49,577368,3386,30.3,False,True
14398,50,45213,395,16.7,True,False
14399,54,284165,4676,46.1,False,True
14400,55,933155,9742,29.7,False,True
14401,2,146080,822,26.2,False,True
14402,4,1223892,21752,33.0,False,True
14403,6,5024415,73614,22.9,True,False
14404,9,411311,8834,18.9,True,False
14405,11,65793,1195,18.5,True,False
14406,18,1065388,17191,35.9,False,True
14407,19,509761,7268,34.2,False,True
14408,20,453815,6664,32.4,False,True
14409,21,771874,10442,43.4,False,True
14410,24,574067,11086,28.0,True,False
14411,27,861359,9217,23.5,True,False
14412,28,509942,10217,49.7,False,True
14413,31,299149,3085,31.1,False,True
14414,34,1223455,28220,22.7,True,False
14415,36,2643081,56584,23.1,True,False
14416,37,1512266,18534,42.1,False,True
14417,39,1620436,25813,32.0,False,True
14418,40,656574,10879,46.5,False,True
14419,45,909905,14064,42.0,False,True
14420,49,579497,3398,30.3,False,True
14421,50,45456,398,16.7,True,False
14422,54,285135,4698,46.1,False,True
14423,55,937369,9777,29.7,False,True
14424,2,146600,822,26.2,False,True
14425,4,1228076,21808,33.0,False,True
14426,6,5031042,73781,22.9,True,False
14427,9,412058,8834,18.9,True,False
14428,11,65889,1196,18.5,True,False
14429,18,1069313,17220,35.9,False,True
14430,19,509761,7268,34.2,False,True
14431,20,453975,6666,32.4,False,True
14432,21,773813,10486,43.4,False,True
14433,24,575147,11096,28.0,True,False
14434,27,866179,9249,23.5,True,False
14435,28,510322,10222,49.7,False,True
14436,31,300348,3092,31.1,False,True
14437,34,1225928,28230,22.7,True,False
14438,36,2651196,56619,23.1,True,False
14439,37,1514733,18583,42.1,False,True
14440,39,1627051,25813,32.0,False,True
14441,40,657630,10879,46.5,False,True
14442,45,910690,14078,42.0,False,True
14443,49,581288,3411,30.3,False,True
14444,50,45985,401,16.7,True,False
14445,54,286249,4717,46.1,False,True
14446,55,941776,9800,29.7,False,True
14447,2,147120,838,26.2,False,True
14448,4,1233146,21886,33.0,False,True
14449,6,5037132,73901,22.9,True,False
14450,9,412918,8850,18.9,True,False
14451,11,66028,1196,18.5,True,False
14452,18,1073046,17247,35.9,False,True
14453,19,509761,7268,34.2,False,True
14454,20,456720,6668,32.4,False,True
14455,21,774770,10671,43.4,False,True
14456,24,576229,11102,28.0,True,False
14457,27,871327,9279,23.5,True,False
14458,28,510748,10229,49.7,False,True
14459,31,301436,3098,31.1,False,True
14460,34,1228167,28243,22.7,True,False
14461,36,2658788,56663,23.1,True,False
14462,37,1517098,18617,42.1,False,True
14463,39,1633480,26063,32.0,False,True
14464,40,658600,10879,46.5,False,True
14465,45,911624,14096,42.0,False,True
14466,49,583054,3428,30.3,False,True
14467,50,46449,401,16.7,True,False
14468,54,287612,4726,46.1,False,True
14469,55,945854,9816,29.7,False,True
14470,2,147120,838,26.2,False,True
14471,4,1238249,21939,33.0,False,True
14472,6,5038985,73927,22.9,True,False
14473,9,412918,8850,18.9,True,False
14474,11,66028,1196,18.5,True,False
14475,18,1073046,17247,35.9,False,True
14476,19,513637,7268,34.2,False,True
14477,20,456759,6668,32.4,False,True
14478,21,774878,10674,43.4,False,True
14479,24,577246,11111,28.0,True,False
14480,27,871327,9279,23.5,True,False
14481,28,510748,10229,49.7,False,True
14482,31,301436,3108,31.1,False,True
14483,34,1230366,28250,22.7,True,False
14484,36,2664344,56681,23.1,True,False
14485,37,1517098,18617,42.1,False,True
14486,39,1639070,26063,32.0,False,True
14487,40,658600,10879,46.5,False,True
14488,45,911624,14096,42.0,False,True
14489,49,583054,3428,30.3,False,True
14490,50,46896,404,16.7,True,False
14491,54,288247,4726,46.1,False,True
14492,55,945854,9816,29.7,False,True
14493,2,147120,838,26.2,False,True
14494,4,1241878,21940,33.0,False,True
14495,6,5040034,73938,22.9,True,False
14496,9,412918,8850,18.9,True,False
14497,11,66028,1196,18.5,True,False
14498,18,1073046,17247,35.9,False,True
14499,19,513637,7268,34.2,False,True
14500,20,456759,6668,32.4,False,True
14501,21,774878,10676,43.4,False,True
14502,24,578252,11121,28.0,True,False
14503,27,871327,9279,23.5,True,False
14504,28,510748,10229,49.7,False,True
14505,31,301436,3108,31.1,False,True
14506,34,1231968,28254,22.7,True,False
14507,36,2673149,56714,23.1,True,False
14508,37,1517098,18617,42.1,False,True
14509,39,1642867,26063,32.0,False,True
14510,40,658600,10879,46.5,False,True
14511,45,911624,14096,42.0,False,True
14512,49,583054,3428,30.3,False,True
14513,50,47376,404,16.7,True,False
14514,54,288967,4726,46.1,False,True
14515,55,945854,9816,29.7,False,True
14516,2,147860,838,26.2,False,True
14517,4,1245127,21942,33.0,False,True
14518,6,5051418,74042,22.9,True,False
14519,9,414978,8853,18.9,True,False
14520,11,66347,1196,18.5,True,False
14521,18,1080972,17316,35.9,False,True
14522,19,513637,7268,34.2,False,True
14523,20,459139,6669,32.4,False,True
14524,21,778538,10769,43.4,False,True
14525,24,579084,11129,28.0,True,False
14526,27,876041,9316,23.5,True,False
14527,28,511935,10240,49.7,False,True
14528,31,303221,3108,31.1,False,True
14529,34,1233511,28265,22.7,True,False
14530,36,2678465,56741,23.1,True,False
14531,37,1522526,18650,42.1,False,True
14532,39,1647237,26063,32.0,False,True
14533,40,661289,10879,46.5,False,True
14534,45,913950,14128,42.0,False,True
14535,49,586883,3442,30.3,False,True
14536,50,47609,405,16.7,True,False
14537,54,289524,4757,46.1,False,True
14538,55,953476,9831,29.7,False,True
14539,2,148004,840,26.2,False,True
14540,4,1248184,22062,33.0,False,True
14541,6,5055959,74157,22.9,True,False
14542,9,415732,8853,18.9,True,False
14543,11,66433,1196,18.5,True,False
14544,18,1084111,17369,35.9,False,True
14545,19,516907,7268,34.2,False,True
14546,20,459181,6670,32.4,False,True
14547,21,780477,10837,43.4,False,True
14548,24,579824,11145,28.0,True,False
14549,27,887492,9353,23.5,True,False
14550,28,512200,10253,49.7,False,True
14551,31,304432,3112,31.1,False,True
14552,34,1236151,28295,22.7,True,False
14553,36,2684084,56775,23.1,True,False
14554,37,1523894,18662,42.1,False,True
14555,39,1653380,26190,32.0,False,True
14556,40,661675,10879,46.5,False,True
14557,45,914384,14135,42.0,False,True
14558,49,588036,3457,30.3,False,True
14559,50,47805,406,16.7,True,False
14560,54,290026,4770,46.1,False,True
14561,55,958496,9873,29.7,False,True
14562,2,148491,846,26.2,False,True
14563,4,1252248,22098,33.0,False,True
14564,6,5060127,74308,22.9,True,False
14565,9,416573,8865,18.9,True,False
